month,date_of_retrieval_,operator,plan,max_speed,plan_type,connection_type,contract_duration,price_of_plan,price_per_mbps
2013-07,8/7/2013,Singnet,Sn 300mbps fibre plan,300,Residential,Fibre,2 year contract,79.9,0.27
2013-07,8/7/2013,Singnet,Sn 500mbps fibre plan,500,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Singnet,Sn 1gbps fibre bundle,1000,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Singnet,Sn 1gbps unlimited fibre,1000,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Starhub,Maxinfinity ultimate,na,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,Starhub,Maxonline home 10mbps cable,10,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,Starhub,Maxonline home 25mbps cable,25,Residential,Fixed Broadband,2 year contract,36.9,1.48
2013-07,8/7/2013,Starhub,Cable home 50mbps cable,50,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,Starhub,Cable home 100mbps cable,100,Residential,Fixed Broadband,2 year contract,49.9,0.5
2013-07,8/7/2013,Starhub,Fibre home 100mbps,100,Residential,Fibre,2 year contract,39.9,0.4
2013-07,8/7/2013,Starhub,Fibre home 150mbps,150,Residential,Fibre,2 year contract,49.9,0.33
2013-07,8/7/2013,Starhub,Fibre home 200mbps,200,Residential,Fibre,2 year contract,59.9,0.3
2013-07,8/7/2013,Starhub,Fibre home 300mbps,300,Residential,Fibre,2 year contract,79.9,0.27
2013-07,8/7/2013,Starhub,Fibre home  500mbps,500,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Starhub,Fibre home 1000mbps,1000,Residential,Fibre,2 year contract,395.9,0.4
2013-07,8/7/2013,Starhub,Dual broadband 200mbps,200,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,Starhub,Dual broadband 500mbps,500,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,Starhub,Dual broadband 1000mbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,Starhub,Lvl 99 150mbps,150,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 10mbps homepac,10,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 30mbps homepac,30,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 100mbps homepac,100,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 300mbps homepac,300,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 1000mbps homepac,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,Gamepro 100,100,Residential,Fixed Broadband,2 year contract,65,0.65
2013-07,8/7/2013,M1,Gamepro 200,200,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,Gamepro 300,300,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 25mbps,25,Residential,Fixed Broadband,2 year contract,39,1.56
2013-07,8/7/2013,M1,M1 50mbps,50,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 100mbps,100,Residential,Fixed Broadband,2 year contract,59,0.59
2013-07,8/7/2013,M1,M1 150mbps,150,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 200mbps,200,Residential,Fixed Broadband,2 year contract,99,0.5
2013-07,8/7/2013,M1,M1 250mbps,250,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 300mbps,300,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 500mbps,500,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,M1,M1 1000mbps,1000,Residential,Fixed Broadband,2 year contract,399,0.4
2013-07,8/7/2013,M1,M1 gamepro 1000,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,Super Internet,Basic residential service 100 mbps,100,Residential,Fixed Broadband,2 year contract,53.5,0.54
2013-07,8/7/2013,Super Internet,Home premium service 100 mbps,100,Residential,Fixed Broadband,2 year contract,133.75,1.34
2013-07,8/7/2013,Viewqwest,Fibernet raptor 200,200,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Viewqwest,Fibernet raptor,na,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Viewqwest,Fibernet 100,100,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Viewqwest,Fibernet 150,150,Residential,Fibre,2 year contract,59.95,0.4
2013-07,8/7/2013,Viewqwest,Fibernet 200,200,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Viewqwest,Fibernet 300,300,Residential,Fibre,2 year contract,95.95,0.32
2013-07,8/7/2013,Viewqwest,Fibernet 400,400,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Viewqwest,Fibernet 500,500,Residential,Fibre,2 year contract,299.95,0.6
2013-07,8/7/2013,Viewqwest,Fibernet 600,600,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,Viewqwest,Fibernet 1000,1000,Residential,Fibre,2 year contract,499.95,0.5
2013-07,8/7/2013,Viewqwest,Fibernet 2000,2000,Residential,Fibre,2 year contract,na,na
2013-07,8/7/2013,MyRepublic,Pure,na,Residential,Fixed Broadband,2 year contract,59,na
2013-07,8/7/2013,MyRepublic,Pure hd,na,Residential,Fixed Broadband,2 year contract,65,na
2013-07,8/7/2013,MyRepublic,Gamer,na,Residential,Fixed Broadband,2 year contract,69,na
2013-07,8/7/2013,MyRepublic,200mbps,200,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,MyRepublic,Ultra 1gbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,MyRepublic,Gamer 1gbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,MyRepublic,Ultra 2gbps bundle,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,MyRepublic,Ultra 1 + 1 gbps,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-07,8/7/2013,MyRepublic,Gamer 1 + 1 gpbs,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,Singnet,Sn 6mbps adsl,6,Residential,ADSL,2 year contract,29.9,4.98
2013-08,13/8/2013,Singnet,Sn 10mbps adsl,10,Residential,ADSL,2 year contract,31.9,3.19
2013-08,13/8/2013,Singnet,Sn 15mbps adsl,15,Residential,ADSL,2 year contract,36.9,2.46
2013-08,13/8/2013,Singnet,Sn 150mbps fibre plan,150,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Singnet,Sn 200mbps fibre plan,200,Residential,Fibre,2 year contract,49.9,0.25
2013-08,13/8/2013,Singnet,Sn 300mbps fibre plan,300,Residential,Fibre,2 year contract,79.9,0.27
2013-08,13/8/2013,Singnet,Sn 500mbps fibre plan,500,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Singnet,Sn 1gbps fibre bundle,1000,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Singnet,Sn 1gbps unlimited fibre,1000,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Starhub,Maxinfinity ultimate,na,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,Starhub,Maxonline home 10mbps cable,10,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,Starhub,Maxonline home 25mbps cable,25,Residential,Fixed Broadband,2 year contract,24.9,1
2013-08,13/8/2013,Starhub,Cable home 50mbps cable,50,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,Starhub,Cable home 100mbps cable,100,Residential,Fixed Broadband,2 year contract,39.9,0.4
2013-08,13/8/2013,Starhub,Fibre home 100mbps,100,Residential,Fibre,2 year contract,39.9,0.4
2013-08,13/8/2013,Starhub,Fibre home 150mbps,150,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Starhub,Fibre home 200mbps,200,Residential,Fibre,2 year contract,49.9,0.25
2013-08,13/8/2013,Starhub,Fibre home 300mbps,300,Residential,Fibre,2 year contract,59.9,0.2
2013-08,13/8/2013,Starhub,Fibre home  500mbps,500,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Starhub,Fibre home 1000mbps,1000,Residential,Fibre,2 year contract,395.9,0.4
2013-08,13/8/2013,Starhub,Dual broadband 200mbps,200,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,Starhub,Dual broadband 500mbps,500,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,Starhub,Dual broadband 1000mbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,Starhub,Lvl 99 150mbps,150,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 10mbps homepac,10,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 30mbps homepac,30,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 100mbps homepac,100,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 300mbps homepac,300,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 1000mbps homepac,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,Gamepro 100,100,Residential,Fixed Broadband,2 year contract,65,0.65
2013-08,13/8/2013,M1,Gamepro 200,200,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,Gamepro 300,300,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 25mbps,25,Residential,Fixed Broadband,2 year contract,39,1.56
2013-08,13/8/2013,M1,M1 50mbps,50,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 100mbps,100,Residential,Fixed Broadband,2 year contract,59,0.59
2013-08,13/8/2013,M1,M1 150mbps,150,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 200mbps,200,Residential,Fixed Broadband,2 year contract,99,0.5
2013-08,13/8/2013,M1,M1 250mbps,250,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 300mbps,300,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 500mbps,500,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,M1,M1 1000mbps,1000,Residential,Fixed Broadband,2 year contract,399,0.4
2013-08,13/8/2013,M1,M1 gamepro 1000,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,Super Internet,Basic residential service 100 mbps,100,Residential,Fixed Broadband,2 year contract,53.5,0.54
2013-08,13/8/2013,Super Internet,Home premium service 100 mbps,100,Residential,Fixed Broadband,2 year contract,133.75,1.34
2013-08,13/8/2013,Viewqwest,Fibernet raptor 200,200,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Viewqwest,Fibernet raptor,na,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Viewqwest,Fibernet 100,100,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Viewqwest,Fibernet 150,150,Residential,Fibre,2 year contract,59.95,0.4
2013-08,13/8/2013,Viewqwest,Fibernet 200,200,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Viewqwest,Fibernet 300,300,Residential,Fibre,2 year contract,95.95,0.32
2013-08,13/8/2013,Viewqwest,Fibernet 400,400,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Viewqwest,Fibernet 500,500,Residential,Fibre,2 year contract,299.95,0.6
2013-08,13/8/2013,Viewqwest,Fibernet 600,600,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,Viewqwest,Fibernet 1000,1000,Residential,Fibre,2 year contract,499.95,0.5
2013-08,13/8/2013,Viewqwest,Fibernet 2000,2000,Residential,Fibre,2 year contract,na,na
2013-08,13/8/2013,MyRepublic,Pure,na,Residential,Fixed Broadband,2 year contract,59,na
2013-08,13/8/2013,MyRepublic,Pure hd,na,Residential,Fixed Broadband,2 year contract,65,na
2013-08,13/8/2013,MyRepublic,Gamer,na,Residential,Fixed Broadband,2 year contract,69,na
2013-08,13/8/2013,MyRepublic,200mbps,200,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,MyRepublic,Ultra 1gbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,MyRepublic,Gamer 1gbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,MyRepublic,Ultra 2gbps bundle,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,MyRepublic,Ultra 1 + 1 gbps,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-08,13/8/2013,MyRepublic,Gamer 1 + 1 gpbs,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,Singnet,Sn 6mbps adsl,6,Residential,ADSL,2 year contract,29.9,4.98
2013-09,20/9/2013,Singnet,Sn 10mbps adsl,10,Residential,ADSL,2 year contract,31.9,3.19
2013-09,20/9/2013,Singnet,Sn 15mbps adsl,15,Residential,ADSL,2 year contract,36.9,2.46
2013-09,20/9/2013,Singnet,Sn 150mbps fibre plan,150,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Singnet,Sn 200mbps fibre plan,200,Residential,Fibre,2 year contract,49.9,0.25
2013-09,20/9/2013,Singnet,Sn 300mbps fibre plan,300,Residential,Fibre,2 year contract,59.9,0.2
2013-09,20/9/2013,Singnet,Sn 500mbps fibre plan,500,Residential,Fibre,2 year contract,79.9,0.16
2013-09,20/9/2013,Singnet,Sn 1gbps fibre bundle,1000,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Singnet,Sn 1gbps unlimited fibre,1000,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Starhub,Maxinfinity ultimate,na,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,Starhub,Maxonline home 10mbps cable,10,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,Starhub,Maxonline home 25mbps cable,25,Residential,Fixed Broadband,2 year contract,24.9,1
2013-09,20/9/2013,Starhub,Cable home 50mbps cable,50,Residential,Fixed Broadband,2 year contract,29.9,0.6
2013-09,20/9/2013,Starhub,Cable home 100mbps cable,100,Residential,Fixed Broadband,2 year contract,39.9,0.4
2013-09,20/9/2013,Starhub,Fibre home 100mbps,100,Residential,Fibre,2 year contract,39.9,0.4
2013-09,20/9/2013,Starhub,Fibre home 150mbps,150,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Starhub,Fibre home 200mbps,200,Residential,Fibre,2 year contract,49.9,0.25
2013-09,20/9/2013,Starhub,Fibre home 300mbps,300,Residential,Fibre,2 year contract,59.9,0.2
2013-09,20/9/2013,Starhub,Fibre home  500mbps,500,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Starhub,Fibre home 1000mbps,1000,Residential,Fibre,2 year contract,395.9,0.4
2013-09,20/9/2013,Starhub,Dual broadband 200mbps,200,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,Starhub,Dual broadband 500mbps,500,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,Starhub,Dual broadband 1000mbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,Starhub,Lvl 99 150mbps,150,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 10mbps homepac,10,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 30mbps homepac,30,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 100mbps homepac,100,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 300mbps homepac,300,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 1000mbps homepac,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,Gamepro 100,100,Residential,Fixed Broadband,2 year contract,65,0.65
2013-09,20/9/2013,M1,Gamepro 200,200,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,Gamepro 300,300,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 25mbps,25,Residential,Fixed Broadband,2 year contract,39,1.56
2013-09,20/9/2013,M1,M1 50mbps,50,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 100mbps,100,Residential,Fixed Broadband,2 year contract,59,0.59
2013-09,20/9/2013,M1,M1 150mbps,150,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 200mbps,200,Residential,Fixed Broadband,2 year contract,99,0.5
2013-09,20/9/2013,M1,M1 250mbps,250,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 300mbps,300,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 500mbps,500,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,M1,M1 1000mbps,1000,Residential,Fixed Broadband,2 year contract,399,0.4
2013-09,20/9/2013,M1,M1 gamepro 1000,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,Super Internet,Basic residential service 100 mbps,100,Residential,Fixed Broadband,2 year contract,53.5,0.54
2013-09,20/9/2013,Super Internet,Home premium service 100 mbps,100,Residential,Fixed Broadband,2 year contract,133.75,1.34
2013-09,20/9/2013,Viewqwest,Fibernet raptor 200,200,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Viewqwest,Fibernet raptor,na,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Viewqwest,Fibernet 100,100,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Viewqwest,Fibernet 150,150,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Viewqwest,Fibernet 200,200,Residential,Fibre,2 year contract,59.95,0.3
2013-09,20/9/2013,Viewqwest,Fibernet 300,300,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Viewqwest,Fibernet 400,400,Residential,Fibre,2 year contract,95.95,0.24
2013-09,20/9/2013,Viewqwest,Fibernet 500,500,Residential,Fibre,2 year contract,299.95,0.6
2013-09,20/9/2013,Viewqwest,Fibernet 600,600,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,Viewqwest,Fibernet 1000,1000,Residential,Fibre,2 year contract,499.95,0.5
2013-09,20/9/2013,Viewqwest,Fibernet 2000,2000,Residential,Fibre,2 year contract,na,na
2013-09,20/9/2013,MyRepublic,Pure,na,Residential,Fixed Broadband,2 year contract,59,na
2013-09,20/9/2013,MyRepublic,Pure hd,na,Residential,Fixed Broadband,2 year contract,65,na
2013-09,20/9/2013,MyRepublic,Gamer,na,Residential,Fixed Broadband,2 year contract,75,na
2013-09,20/9/2013,MyRepublic,200mbps,200,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,MyRepublic,Ultra 1gbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,MyRepublic,Gamer 1gbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,MyRepublic,Ultra 2gbps bundle,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,MyRepublic,Ultra 1 + 1 gbps,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-09,20/9/2013,MyRepublic,Gamer 1 + 1 gpbs,2000,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,Singnet,Sn 6mbps adsl,6,Residential,ADSL,2 year contract,29.9,4.98
2013-10,11/10/2013,Singnet,Sn 10mbps adsl,10,Residential,ADSL,2 year contract,31.9,3.19
2013-10,11/10/2013,Singnet,Sn 15mbps adsl,15,Residential,ADSL,2 year contract,36.9,2.46
2013-10,11/10/2013,Singnet,Sn 150mbps fibre plan,150,Residential,Fibre,2 year contract,na,na
2013-10,11/10/2013,Singnet,Sn 200mbps fibre plan,200,Residential,Fibre,2 year contract,49.9,0.25
2013-10,11/10/2013,Singnet,Sn 300mbps fibre plan,300,Residential,Fibre,2 year contract,59.9,0.2
2013-10,11/10/2013,Singnet,Sn 500mbps fibre plan,500,Residential,Fibre,2 year contract,79.9,0.16
2013-10,11/10/2013,Singnet,Sn 1gbps fibre bundle,1000,Residential,Fibre,2 year contract,na,na
2013-10,11/10/2013,Singnet,Sn 1gbps unlimited fibre,1000,Residential,Fibre,2 year contract,na,na
2013-10,11/10/2013,Starhub,Maxinfinity ultimate,na,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,Starhub,Maxonline home 10mbps cable,10,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,Starhub,Maxonline home 25mbps cable,25,Residential,Fixed Broadband,2 year contract,24.9,1
2013-10,11/10/2013,Starhub,Cable home 50mbps cable,50,Residential,Fixed Broadband,2 year contract,29.9,0.6
2013-10,11/10/2013,Starhub,Cable home 100mbps cable,100,Residential,Fixed Broadband,2 year contract,39.9,0.4
2013-10,11/10/2013,Starhub,Fibre home 100mbps,100,Residential,Fibre,2 year contract,39.9,0.4
2013-10,11/10/2013,Starhub,Fibre home 150mbps,150,Residential,Fibre,2 year contract,na,na
2013-10,11/10/2013,Starhub,Fibre home 200mbps,200,Residential,Fibre,2 year contract,49.9,0.25
2013-10,11/10/2013,Starhub,Fibre home 300mbps,300,Residential,Fibre,2 year contract,59.9,0.2
2013-10,11/10/2013,Starhub,Fibre home  500mbps,500,Residential,Fibre,2 year contract,na,na
2013-10,11/10/2013,Starhub,Fibre home 1000mbps,1000,Residential,Fibre,2 year contract,395.9,0.4
2013-10,11/10/2013,Starhub,Dual broadband 200mbps,200,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,Starhub,Dual broadband 500mbps,500,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,Starhub,Dual broadband 1000mbps,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,Starhub,Lvl 99 150mbps,150,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,M1,M1 10mbps homepac,10,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,M1,M1 30mbps homepac,30,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,M1,M1 100mbps homepac,100,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,M1,M1 300mbps homepac,300,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,M1,M1 1000mbps homepac,1000,Residential,Fixed Broadband,2 year contract,na,na
2013-10,11/10/2013,M1,Gamepro 100,100,Residential,Fixed Broadband,2 year contract,65,0.65
2013-10,11/10/2013,M1,Gamepro 200,200,Residential,Fixed Broadband,2 year contract,na,na
